Liczba węzłów,Błąd maksymalny dla Newtona,Błąd maksymalny dla Lagrange'a,Błąd średni dla Newtona,Błąd średni dla Lagrange'a
2,2.03025e+01,2.03025e+01,2.49503e-01,2.49503e-01
6,2.47427e+01,2.47427e+01,3.24710e-01,3.24710e-01
10,2.03025e+01,2.03025e+01,2.49503e-01,2.49503e-01
14,5.73773e+02,5.73773e+02,2.12313e+00,2.12313e+00
18,3.39761e+02,3.39761e+02,8.07756e-01,8.07756e-01
22,5.16483e+01,5.16483e+01,1.00461e-01,1.00461e-01
26,3.11323e+00,3.11323e+00,5.50775e-03,5.50775e-03
30,9.14233e-02,9.14233e-02,1.53379e-04,1.53379e-04
34,1.48162e-03,1.48148e-03,2.39717e-06,2.39695e-06
38,1.57817e-05,1.04364e-05,2.42699e-08,1.54714e-08
42,1.04857e-05,2.33136e-04,1.59900e-08,2.71126e-07
46,2.30914e-04,2.13195e-03,3.49657e-07,2.65827e-06
50,5.15337e-03,1.23735e-01,7.61329e-06,1.96874e-04
54,9.63631e-02,1.73776e+00,1.39502e-04,2.68304e-03
58,2.12707e+00,1.72001e+01,3.02046e-03,2.27466e-02
62,4.83089e+01,1.87862e+02,6.76101e-02,3.25552e-01
66,1.32550e+03,1.16233e+04,1.82221e+00,1.26278e+01
70,1.55574e+04,9.77502e+04,2.10564e+01,1.10210e+02
74,7.05982e+05,3.37812e+06,9.42747e+02,5.09798e+03
78,1.33456e+07,1.86522e+08,1.75797e+04,2.46548e+05
82,1.34467e+08,7.44209e+08,1.74951e+05,8.52286e+05
86,1.78927e+09,2.23345e+10,2.33569e+06,2.47975e+07
90,1.87004e+10,9.11549e+11,2.20583e+07,1.24053e+09
94,1.95038e+12,7.80823e+12,2.43999e+09,9.54597e+09
98,5.47394e+13,6.66310e+14,9.61437e+10,8.06915e+11
102,4.95114e+15,1.78690e+15,6.64936e+12,1.97602e+12
106,8.77711e+16,1.30204e+17,1.04400e+14,1.85991e+14
110,3.98849e+19,1.95129e+18,6.21755e+16,2.68348e+15
114,8.76254e+20,2.00646e+19,1.18305e+18,2.70089e+16
118,7.61076e+22,7.37951e+20,1.31796e+20,9.08917e+17
122,1.67584e+25,1.49842e+22,3.20559e+22,1.96130e+19
126,1.10399e+27,3.67495e+23,1.80303e+24,3.76644e+20
130,1.51981e+29,5.69706e+24,1.67878e+26,6.71555e+21
134,3.78480e+30,3.72162e+26,6.04985e+27,4.12846e+23
138,3.92918e+32,5.91252e+27,6.31405e+29,6.10702e+24
142,2.51518e+34,6.30941e+28,4.65026e+31,6.92655e+25
146,3.78401e+36,1.06425e+30,4.91601e+33,1.21063e+27
150,9.92846e+38,2.01589e+31,1.25467e+36,2.37218e+28
154,2.37815e+40,2.60774e+32,3.41788e+37,3.41231e+29
158,1.25778e+42,2.23589e+34,2.02219e+39,2.36277e+31
162,2.43066e+44,8.20116e+34,3.13499e+41,1.27746e+32
166,5.88178e+46,1.47594e+36,1.05084e+44,1.59817e+33
170,4.12456e+48,1.28225e+37,6.49355e+45,1.44911e+34
174,8.64817e+49,2.19409e+38,1.26448e+47,3.33780e+35
178,1.21316e+52,1.34212e+40,1.67482e+49,1.41086e+37
182,9.94235e+53,2.02874e+41,1.53957e+51,2.87925e+38
186,2.60998e+56,2.37491e+43,3.73128e+53,2.74601e+40
190,4.64838e+57,3.20022e+44,7.81982e+54,3.34544e+41
194,1.93626e+59,2.56615e+45,3.36008e+56,3.55551e+42
198,1.30493e+61,1.02248e+47,1.54630e+58,1.03255e+44
